Country;YearsCodingProf;DevType;Salary;SalaryType;CurrencySymbol
Spain;6-8 years;"Front-end developer;Full-stack developer;Game or graphics developer";43600;Yearly;EUR
Spain;12-14 years;"Back-end developer;Data scientist or machine learning specialist";58000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;Full-stack developer;System administrator";35000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer";26000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer";30000;Yearly;EUR
Spain;18-20 years;"Back-end developer;DevOps specialist;Full-stack developer;Product manager";40000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Student";18000;Yearly;EUR
Spain;21-23 years;"Back-end developer;Database administrator;DevOps specialist";37500;Yearly;EUR
Spain;3-5 years;Back-end developer;26000;Yearly;EUR
Spain;0-2 years;"Front-end developer;Full-stack developer";30000;Yearly;EUR
Spain;6-8 years;"Front-end developer;Full-stack developer";35000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Mobile developer";30000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Front-end developer;Full-stack developer";28500;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer";29000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer;System administrator";14500;Yearly;EUR
Spain;0-2 years;"Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;DevOps specialist";27000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer";60000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Full-stack developer";40000;Yearly;EUR
Spain;9-11 years;Back-end developer;41500;Yearly;EUR
Spain;3-5 years;"Back-end developer;Full-stack developer";28000;Yearly;EUR
Spain;15-17 years;"Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer";48000;Yearly;EUR
Spain;3-5 years;Back-end developer;28000;Yearly;EUR
Spain;12-14 years;Back-end developer;45000;Yearly;EUR
Spain;12-14 years;"Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator";33700;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data or business analyst;Database administrator;Designer;Front-end developer;Full-stack developer;QA or test developer;System administrator";30000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Engineering manager;Full-stack developer;Mobile developer";40000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;System administrator";26000;Yearly;EUR
Spain;3-5 years;"Front-end developer;Full-stack developer";47000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer";28000;Yearly;EUR
Spain;3-5 years;"Front-end developer;Game or graphics developer";18000;Yearly;EUR
Spain;9-11 years;Back-end developer;33000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Database administrator;Front-end developer;Full-stack developer";22000;Yearly;EUR
Spain;24-26 years;Back-end developer;40000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;System administrator";23000;Yearly;EUR
Spain;3-5 years;"Front-end developer;Full-stack developer";40000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer";26500;Yearly;EUR
Spain;9-11 years;"Back-end developer;Designer;Front-end developer;Full-stack developer;Game or graphics developer;Marketing or sales professional;Mobile developer;System administrator";21000;Yearly;EUR
Spain;3-5 years;Back-end developer;28000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer";30000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Database administrator;DevOps specialist;Full-stack developer;QA or test developer";21000;Yearly;EUR
Spain;0-2 years;Back-end developer;15000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data or business analyst;Educator or academic researcher";23000;Yearly;EUR
Spain;9-11 years;Back-end developer;37000;Yearly;EUR
